order_number,transaction_date,menu_name,quantity,price,payment_method,notes
TRX-0304-001,2026-03-04 12:00,Es Teller Creamy,1,12000,Tunai,
TRX-0304-002,2026-03-04 12:00,Es Teller Creamy,1,12000,Tunai,
TRX-0304-003,2026-03-04 12:00,Es Teller Creamy,1,12000,Tunai,
TRX-0304-004,2026-03-04 12:00,Thai Tea Original,1,12000,Tunai,
TRX-0304-005,2026-03-04 12:00,Thai Tea Original,1,12000,Tunai,
TRX-0304-006,2026-03-04 12:00,Thai Tea Original,1,12000,Tunai,
TRX-0304-007,2026-03-04 12:00,Green Thai Tea,2,12000,Tunai,
TRX-0304-008,2026-03-04 12:00,Green Thai Tea,1,12000,Tunai,
TRX-0304-009,2026-03-04 12:00,Thai Tea Original,2,12000,Tunai,
TRX-0304-010,2026-03-03 12:00,Mie Yamien Asin,2,18000,Tunai,
TRX-0304-010,2026-03-03 12:00,Mie Yamien Manis,3,18000,Tunai,
TRX-0304-011,2026-03-03 12:00,Mie Yamien Manis,2,18000,Tunai,
TRX-0304-012,2026-03-03 12:00,Mie Yamien Asin,1,18000,Tunai,
TRX-0304-013,2026-03-03 12:00,Mie Yamien Asin,2,18000,Tunai,
TRX-0304-014,2026-03-03 12:00,Mie Yamien Manis,1,18000,Tunai,
TRX-0305-001,2026-03-05 12:00,Es Teller Creamy,2,12000,Tunai,
TRX-0305-001,2026-03-05 12:00,Mie Yamien Manis,1,18000,Tunai,
TRX-0305-002,2026-03-05 12:00,Mie Yamien Asin,1,18000,Tunai,
TRX-0305-003,2026-03-05 12:00,Mie Yamien Manis,1,18000,Tunai,
TRX-0305-004,2026-03-05 12:00,Es Teller Creamy,1,12000,Tunai,
TRX-0305-004,2026-03-05 12:00,Thai Tea Original,1,12000,Tunai,
TRX-0305-005,2026-03-05 12:00,Green Thai Tea,2,12000,Tunai,
TRX-0305-006,2026-03-05 12:00,Es Teller Creamy,1,12000,Tunai,
TRX-0305-007,2026-03-05 12:00,Es Teller Creamy,1,12000,Tunai,
TRX-0307-001,2026-03-07 12:00,Es Teller Creamy,1,12000,Tunai,
TRX-0307-001,2026-03-07 12:00,Thai Tea Original,1,12000,Tunai,
TRX-0307-002,2026-03-07 12:00,Thai Tea Original,2,12000,Tunai,
TRX-0307-002,2026-03-07 12:00,Mie Yamien Manis,1,18000,Tunai,
TRX-0307-003,2026-03-07 12:00,Es Teller Creamy,3,12000,Tunai,
TRX-0307-004,2026-03-07 12:00,Mie Yamien Asin,1,18000,Tunai,
TRX-0307-004,2026-03-07 12:00,Es Teller Creamy,1,12000,Tunai,
TRX-0307-005,2026-03-07 12:00,Mie Yamien Manis,1,18000,Tunai,
TRX-0308-001,2026-03-08 12:00,Es Teller Creamy,10,12000,Tunai,
TRX-0308-002,2026-03-08 12:00,Thai Tea Original,4,12000,Tunai,
TRX-0308-003,2026-03-08 12:00,Green Thai Tea,4,12000,Tunai,
TRX-0308-004,2026-03-08 12:00,Mie Yamien Asin,2,18000,Tunai,
TRX-0308-005,2026-03-08 12:00,Mie Yamien Manis,1,18000,Tunai,
TRX-0308-006,2026-03-08 12:00,Mie Yamien Asin Bakso,5,22000,Tunai,
TRX-0308-007,2026-03-08 12:00,Mie Yamien Manis Bakso,5,22000,Tunai,
TRX-0310-001,2026-03-10 12:00,Es Teller Creamy,15,12000,Tunai,
TRX-0310-002,2026-03-10 12:00,Thai Tea Original,1,12000,Tunai,
TRX-0310-003,2026-03-10 12:00,Green Thai Tea,1,12000,Tunai,
TRX-0310-004,2026-03-10 12:00,Mie Yamien Manis Bakso,2,22000,Tunai,
TRX-0310-005,2026-03-10 12:00,Mie Yamien Asin Bakso,1,22000,Tunai,
TRX-0311-001,2026-03-11 12:00,Es Teller Creamy,14,12000,Tunai,
TRX-0311-002,2026-03-11 12:00,Thai Tea Original,2,12000,Tunai,
TRX-0311-003,2026-03-11 12:00,Green Thai Tea,2,12000,Tunai,
TRX-0311-004,2026-03-11 12:00,Mie Yamien Manis,4,18000,Tunai,
TRX-0311-005,2026-03-11 12:00,Mie Yamien Asin,3,18000,Tunai,
TRX-0311-006,2026-03-11 12:00,Mie Yamien Manis Bakso,1,22000,Tunai,
TRX-0312-001,2026-03-12 12:00,Es Teller Creamy,19,12000,Tunai,
TRX-0312-002,2026-03-12 12:00,Thai Tea Original,4,12000,Tunai,
TRX-0312-003,2026-03-12 12:00,Green Thai Tea,5,12000,Tunai,
TRX-0312-004,2026-03-12 12:00,Mie Yamien Manis,1,18000,Tunai,
TRX-0312-005,2026-03-12 12:00,Mie Yamien Asin,1,18000,Tunai,
TRX-0312-006,2026-03-12 12:00,Mie Yamien Manis Bakso,3,22000,Tunai,
TRX-0312-007,2026-03-12 12:00,Mie Yamien Asin Bakso,2,22000,Tunai,
